Record_ID,Date,Region,Category,Active_Users,Transactions,Revenue,Churned_Users,Avg_Ticket_Size,Churn_%
1,2025-01-01,South,Clothing,255,169,16287.71,8,84.1,3.1372549019607843
2,2025-01-02,West,Home & Kitchen,241,95,12808.8,23,133.15,9.54356846473029
3,2025-01-03,East,Clothing,314,205,15404.33,20,84.11,6.369426751592357
4,2025-01-04,East,Home & Kitchen,264,150,18393.87,9,126.13,3.4090909090909087
5,2025-01-05,North,Sports,269,198,24857.1,25,118.28,9.293680297397769
6,2025-01-06,North,Clothing,227,110,8488.01,26,81.56,11.45374449339207
7,2025-01-07,North,Sports,223,134,16680.15,17,112.67,7.623318385650224
8,2025-01-08,West,Sports,226,163,16025.41,23,100.36,10.176991150442479
9,2025-01-09,East,Electronics,272,106,22082.17,33,215.83,12.132352941176471
10,2025-01-10,East,Electronics,227,165,26254.91,26,183.9,11.45374449339207
11,2025-01-11,North,Electronics,266,166,39077.33,32,205.38,12.030075187969924
12,2025-01-12,West,Electronics,364,137,27132.21,36,188.35,9.89010989010989
13,2025-01-13,West,Electronics,298,140,22564.95,24,154.59,8.053691275167784
14,2025-01-14,North,Beauty,232,147,10527.98,9,73.36,3.8793103448275863
15,2025-01-15,North,Electronics,316,119,25827.0,23,215.06,7.2784810126582276
16,2025-01-16,North,Clothing,228,133,14788.73,13,98.48,5.701754385964912
17,2025-01-17,South,Sports,138,67,10116.45,19,122.64,13.768115942028986
18,2025-01-18,South,Electronics,195,117,26868.9,15,210.59,7.6923076923076925
19,2025-01-19,South,Beauty,147,54,3780.06,12,63.15,8.16326530612245
20,2025-01-20,South,Clothing,231,161,16036.19,22,85.15,9.523809523809524
21,2025-01-21,East,Electronics,251,186,35464.63,20,192.39,7.968127490039841
22,2025-01-22,North,Beauty,342,252,18262.94,42,67.76,12.280701754385964
23,2025-01-23,South,Home & Kitchen,268,174,26746.58,17,140.29,6.343283582089552
24,2025-01-24,South,Sports,238,96,13293.87,20,125.84,8.403361344537815
25,2025-01-25,South,Beauty,296,193,14894.35,18,66.31,6.081081081081082
26,2025-01-26,West,Beauty,128,46,2835.43,6,63.37,4.6875
27,2025-01-27,North,Clothing,263,94,10569.94,17,104.59,6.4638783269961975
